ID,3.5mm jack,Battery,GPS Support,GPU,Internal Storage,Card slot,NFC,Name,OS,Price,Primary Camera,Clock Speed,SIM,Secondary Camera,Sensors,Weight,Resolution
262,,3000,,,64 GB,Dedicated Slot,,LG Q6+ ,Android Nougat 7.1.1,"‚¹17,989",13MP,1.4 GHz,Nano SIM,,,,1080 x 2160$$Pixels
263,,800,,,64 MB,Dedicated Slot,,MTR S5 Mini,,‚¹899,0.3MP,1.4 MHz,,,,,120 x 240$$Pixels
264,Yes,1500,Yes,,4 GB,Dedicated Slot,,Intex Aqua 4.0 4G ,Android Marshmallow 6,"‚¹3,329",2MP,1.3 GHz,Micro SIM and Micro SIM,0.3MP,"SP Sensor, GC Sensor, G-sensor",112 g,360 x 640 pixels
265,,1000,,,32 MB,Dedicated Slot,,Mido D11+,,‚¹575,0.3MP,,,,,,320 x 240 Pixels
266,Yes,800,,,,Dedicated Slot,,JIVI N201 Selfie,,‚¹849,1.3MP,1 MHz,Normal SIM,0.3MP,,,240 x 320 pixels
267,Yes,3000,Yes,ARM Mali - 720 MP1 at 550 / 650 MHz,16 GB,Dedicated Slot,,iVooMi i1 ,Android Nougat 7,"‚¹5,999",13MP + 2MP,1.3 GHz,Dual Micro SIM,8MP,"G-sensor, Light Sensor, Proximity Sensor",165 g,1280 x 640 Pixels
268,,2400,,,16 GB,,,Intex Elyt Dual ,Android Nougat 7,"‚¹5,999",8MP,1.3 GHz,,,"G-Sensor, P-Sensor, L-Sensor",150 g,720 x 1280$$Pixels
269,Yes,5000,,,32 GB,Hybrid Slot,,Comio P1 4G ,Android Nougat 7.0,"‚¹8,999",13MP,1.3 GHz,,8MP,,178 g,1280 x 720 Pixels
270,Yes,1200,,,64 MB,Dedicated Slot,,1+1=2 D7,0,‚¹569,0.3MP,,,,,,128 x 160$$Pixels
271,Yes,1400,No,,32 MB,Dedicated Slot,,Chilli B10,,"‚¹1,119",1.8MP,512 MHz,Full Size SIM,,No,,220 x 180$$Pixels
272,Yes,1050,,,,Dedicated Slot,,Mafe Guru,,‚¹685,0.3MP,,,,,,160 x 128 Pixels
273,Yes,800,,,32 MB,Dedicated Slot,,Karbonn K310n,,‚¹790,0.3MP,1 MHz,,,,65 g,240 x 320$$Pixels
274,,1000,,,32 MB,Dedicated Slot,,UI Phones Selfie 1,,‚¹830,0.3MP,,,,,,128 x 160 Pixels
275,Yes,1200,,,16 MB,Dedicated Slot,,Nokia 3310 DS,0,"‚¹3,240",2MP,,,,,,240 x 320 pixels
276,,,Yes,,32 GB,,Yes,Apple iPhone 7 Plus ,iOS 10,"‚¹57,890",12MP + 12MP,,Nano Sim,7MP,"Touch ID Fingerprint Sensor, Barometer, Three-axis Gyro Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Backside Illumination Sensor, Digital Compass",188 g,1920 x 1080 Pixels
277,Yes,800,,,,Dedicated Slot,,JIVI N201 Selfie,,‚¹849,1.3MP,1 MHz,Normal SIM,0.3MP,,,240 x 320 pixels
278,,3090,Yes,,64 GB,,,Nokia 8 ,Android Nougat 7.1.1,"‚¹29,960",13MP + 13MP,2.5 GHz,Nano SIM and Nano SIM,13MP,"Compass Magnetometer, Proximity Sensor, Accelerometer, Ambient Light Sensor, Gyroscope and Barometer",,2560 x 1440 Pixels
279,,800,,,64 MB,Dedicated Slot,,MTR Mt1102,,‚¹640,0.3MP,1.4 MHz,,,,,120 x 240$$Pixels
280,,4000,,,256 MB,Dedicated Slot,,GreenBerry W1,,"‚¹1,399",1.3MP,1.2 MHz,,,,,320 x 480$$Pixels
281,Yes,1500,,,32 MB,Dedicated Slot,,Reach Champ FM,,‚¹849,0.3MP,,Normal SIM,,,,320 x 240 Pixels
282,,1800,,,20 MB,Hybrid Slot,,Ziox S223,,"‚¹1,199",0.3MP,,,,,,640 x 480 Pixels
283,,850,,,1 MB,,,Karbonn K-Flip,,"‚¹1,205",0.3MP,,,,,,240 x 320 Pixels
284,Yes,2800,No,,32 MB,Dedicated Slot,No,Mtech Trendy+,,"‚¹1,299",0.08MP,,REGULAR,0.08MP,,111.8 g,240 x 320 Pixels
285,,2200,,,16 GB,Dedicated Slot,,ZTE Blade V6 ,Android Lollipop 5,"‚¹6,899",13MP,1.3 GHz,,5MP,,,720 x 1280 Pixels
286,Yes,1700,No,,32 MB,Dedicated Slot,No,Mtech V14,,"‚¹1,299",0.3MP,,Regular SIM,,,96 g,320 x 240$$Pixels
287,,1000,,,32 KB,,,Iball Andi 2.4M,,"‚¹1,111",1.3MP,1 MHz,Micro SIM,,Accelerometer,200 g,
288,,800,,,32 MB,Dedicated Slot,,Zen Atom 103,,‚¹839,1.3MP,312 MHz,,,,,120 x 160 Pixels
289,Yes,2000,Yes,,8 GB,Hybrid Slot,,Samsung Galaxy J2-2017 ,Android Lollipop 5.4.1,"‚¹6,590",5.0MP,1.3 GHz,Micro SIM (3FF),2.0MP,"Accelerometer, Proximity Sensor",130 g,540 x 960 Pixels
290,Yes,4000,Yes,Adreno 506,64 GB,Hybrid Slot,,Redmi Note 5 ,Android Nougat 7.1.2,"‚¹11,999",12MP,2 GHz,Nano SIM and Nano SIM,5MP,"Fingerprint Scanner, Ambient Light Sensor, Proximity Sensor, E Compass, Accelerometer, Hall Sensor, Gyroscope",180 g,2160 x 1080 Pixels
291,Yes,3000,Yes,ARM Mali - 720 MP1 at 550 / 650 MHz,16 GB,Dedicated Slot,,iVooMi i1 ,Android Nougat 7,"‚¹5,999",13MP + 2MP,1.3 GHz,Dual Micro SIM,8MP,"G-sensor, Light Sensor, Proximity Sensor",165 g,1280 x 640 Pixels
292,Yes,3000,,ARM Heimdall MP18,64 GB,Hybrid Slot,Yes,Samsung Galaxy S9 ,Android Oreo 8,"‚¹57,900",12MP,2.7 GHz,Nano SIM,8MP,,163 g,2960 x 1440 Pixels
293,,2630,Yes,Adreno A306,16 GB,Hybrid Slot,,OPPO A37f ,Android Lollipop Color OS 3.0 based on Android 5.1,"‚¹8,990",8MP,1.2 GHz,Nano Sim,5MP,,136 g,1280 x 720 Pixels
294,Yes,4000,,,32 GB,,,Coolpad Cool 1 ,Android Marshmallow 6,"‚¹9,696",13MP,1.8 GHz,Nano SIM,8MP,FingerPrint Sensor,,1920 x 1080 Pixels
295,,2200,Yes,,16 GB,Dedicated Slot,,Panasonic P100 ,Android Nougat 7.0,"‚¹5,999",8MP,1.25 GHz,Micro SIM and Micro SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light Sensor, Fingerprint Sensor",174.8 g,1280 x 720 Pixels
296,,1450,,,34.5 KB,Dedicated Slot,,Intex Lions G1,,‚¹849,0.3MP,,,,,,320 x 240 pixels
297,Yes,3000,Yes,ARM MaIi - T860 MP2,64 GB,Hybrid Slot,,VIVO V5s Perfect Selfie ,Android Nougat 7 (Update Available),"‚¹15,990",13MP,1.5 GHz,Micro SIM and Nano SIM,20MP,"Accelerometer, Ambient Light Sensor, Proximity Sensor, E-compass, Gyroscope (Virtual), Fingerprint Scanner",154 g,1280 x 720 pixels
298,Yes,1000,,,10 MB,Dedicated Slot,,BlackZone Flip-X,,‚¹829,0.3MP,1 MHz,,,,,320 x 240$$Pixels
299,,850,,,16 MB,Dedicated Slot,,"Forme N9+ Selfie Camera, Wireless FM, Dual SIM ",,‚¹699,0.3MP,,,,,,320 x 240 Pixels
300,,1000,,,64 MB,,,I Kall K11,,‚¹599,0.3MP,,,,,,128 x 160 Pixels
301,,800,,,0 GB,Dedicated Slot,,Lava Captain N1,,‚¹859,0.3MP,1.1 GHz,,,,,QQVGA
