,Unnamed: 0,3.5mm jack,Battery,Card slot,Clock Speed,GPS Support,GPU,ID,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight
167,552,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,552,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
168,556,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,556,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
169,560,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,560,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
170,561,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,561,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
171,563,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,563,32 GB,,"Samsung Galaxy J7 Nxt (Gold, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
172,570,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,570,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
173,571,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,571,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
174,573,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,573,16 GB,,"Samsung Galaxy J7 Nxt (Black, 16 GB)  (2 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
175,579,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,579,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
176,587,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,587,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
177,607,Yes,3600.0,Dedicated Slot,1.6 GHz,Yes,,607,64 GB,Yes,"Samsung Galaxy J7 Pro (Black, 64 GB)  (3 GB RAM)",Android Nougat 7.0,,13MP,1920 x 1080 Pixels,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g
178,611,Yes,3600.0,Dedicated Slot,1.6 GHz,Yes,,611,64 GB,Yes,"Samsung Galaxy J7 Pro (Black, 64 GB)  (3 GB RAM)",Android Nougat 7.0,,13MP,1920 x 1080 Pixels,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g
179,612,Yes,3600.0,Dedicated Slot,1.6 GHz,Yes,,612,64 GB,Yes,"Samsung Galaxy J7 Pro (Black, 64 GB)  (3 GB RAM)",Android Nougat 7.0,,13MP,1920 x 1080 Pixels,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g
180,616,Yes,3600.0,Dedicated Slot,1.6 GHz,Yes,,616,64 GB,Yes,"Samsung Galaxy J7 Pro (Black, 64 GB)  (3 GB RAM)",Android Nougat 7.0,,13MP,1920 x 1080 Pixels,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g
181,617,Yes,3600.0,Dedicated Slot,1.6 GHz,Yes,,617,64 GB,Yes,"Samsung Galaxy J7 Pro (Black, 64 GB)  (3 GB RAM)",Android Nougat 7.0,,13MP,1920 x 1080 Pixels,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g
182,621,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,621,32 GB,,"Samsung Galaxy J7 Nxt (Black, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
183,627,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,627,32 GB,,"Samsung Galaxy J7 Nxt (Black, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
184,631,Yes,3600.0,Dedicated Slot,1.6 GHz,Yes,,631,64 GB,Yes,"Samsung Galaxy J7 Pro (Black, 64 GB)  (3 GB RAM)",Android Nougat 7.0,,13MP,1920 x 1080 Pixels,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g
185,644,,1000.0,,,,,644,2.27 MB,,Samsung Metro 313 Dual Sim  (Gold),,,3MP,128 x 160 Pixels,Micro SIM,,,75.2 g
186,666,Yes,3600.0,Dedicated Slot,1.6 GHz,Yes,,666,64 GB,Yes,"Samsung Galaxy J7 Pro (Black, 64 GB)  (3 GB RAM)",Android Nougat 7.0,,13MP,1920 x 1080 Pixels,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g
187,677,Yes,3600.0,Dedicated Slot,1.6 GHz,Yes,,677,64 GB,Yes,"Samsung Galaxy J7 Pro (Black, 64 GB)  (3 GB RAM)",Android Nougat 7.0,,13MP,1920 x 1080 Pixels,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g
188,717,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,717,16 GB,Yes,"Samsung Galaxy J7 Prime (Black, 16 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
189,731,Yes,2000.0,,,,,731,32 MB,,Celkon C9 Jumbo  (Black & Red),,,1.3MP,240 x 320 Pixels,Full Size SIM,,,
190,748,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,748,32 GB,Yes,"Samsung Galaxy J7 Prime (Black, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
191,781,,2000.0,,1.3 GHz,,,781,8 GB,,"Micromax Canvas Amaze (Black, 8 GB)  (2 GB RAM)",Android Lollipop 5.1,,13MP,1280 x 720 Pixels,,,,
192,835,,2000.0,,1.3 GHz,,,835,8 GB,,"Micromax Canvas Amaze (Black, 8 GB)  (2 GB RAM)",Android Lollipop 5.1,,13MP,1280 x 720 Pixels,,,,
193,889,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,889,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
