,2G bands,3.5mm jack,3G Speed,3G bands,4G bands,Alert types,Announced,Audio Jack,Audio quality,Battery Capacity,Battery life,Bluetooth Support,Bluetooth Version,Browser,Browser,Build,Camera,Dimensions,Display Colors,Display Size,Display Type,EDGE,Expandable Storage,FM Radio,Features,GPRS,GPRS Features,GPS,GPS Support,GPU,Instant Message,Internal,Internal Storage,Internet Connectivity,Loudspeaker,Memory Card Slot Type,Messaging,Multitouch,Music play,NFC,Name,Operating System,Other Display Features,Performance,Price_INR,Primary Camera,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Processor Core,Processor Type,Protection,RAM,Resolution,SAR,SAR EU,SIM Size,SMS,Secondary Camera,Secondary Camera Available,Secondary Camera Features,Sensors,Stand-by,Status,Supported Networks,Talk time,USB,Video,WLAN,Weight,Wi-Fi Version
2641,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,"Un Branded PUNIX GT08 Bluetooth Smart Wrist Watch With Camera, Sim & TF Card Support For Android, IOS & Smart Phone Silver SmartwatchÂ Â (Black Strap Regular)",,,,‚¹920,,,,,,,,,,,,,,,,,,,,,,,,,75 g,
2642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBS GT08 50 Wrist Bluetooth Call Function Camera Recording Slim Fitness Memory card slot Mini Mobile Watch Strap Smartwatch SmartwatchÂ Â (Black Strap Regular),,,,"‚¹1,199",,,,,,,,,,,,,,,,,,,,,,,,,,
2643,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 White SmartwatchÂ Â (White Strap Regular),"Android, iOS, Windows",,,‚¹849,,,,,,,,,,,,,,,,,,,,,,,,,,
2644,,,,,,,,,,,,,v3.0,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,CREATION4U C4U-DZ-161 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver SmartwatchÂ Â (Silver Strap Regular),Android Wear,,,"‚¹1,099",2 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2645,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,,TFT,,,,,,,,,,,,,,,,,,,,Wokit A1-224 Silver SmartwatchÂ Â (Black Strap Regular),"Android, iOS, Windows",,,"‚¹1,229",2 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2646,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Micromax YU YUREKA Silver SmartwatchÂ Â (White Strap Regular),Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2647,,,,,,,,,,,,,,,,,,,,1.63 inch,,,,,,,,,,,,,,,,,,,,,Mithark MH09 Sim Support and SD Card SmartwatchÂ Â (Multicolor Strap Regular),Android Wear,,,"‚¹1,045",,,,,,,,,,,,,,,,,,,,,,,,,,
2648,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Black SmartwatchÂ Â (Black Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,,,,,,,,,,,,,V4,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,Techno Frost DZ Silver SmartwatchÂ Â (Black Strap Large),Android,,,"‚¹1,130",0.3 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2650,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Meizu M2 Note Silver SmartwatchÂ Â (White Strap Regular),Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2651,,,,,,,,,,,,,v4.2,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,"Enew 009 Camera Smart Watch with Sim Card and 32 GB Memory card slot,Bluetooth and Fitness Tracker Blue SmartwatchÂ Â (Black Strap Free)",Android Wear,"Remote Camera, Barometer, Pedometer, Alarm Clock, Stopwatch, Phonebook, Make Calls, recive calls, sms, anti lost, calculator",,‚¹794,,,,,,,,,,,,,,,,,,,,,,,,,7 g,
2652,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Celkon 2GB Star Silver SmartwatchÂ Â (White Strap Regular),Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2653,,,,,,,,,,,,,V4,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,Techno Frost DZ brown SmartwatchÂ Â (Brown Strap Large),Android,,,"‚¹1,130",0.3 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2654,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Yu Caesar Mini Silver SmartwatchÂ Â (White Strap Regular),Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2655,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Black SmartwatchÂ Â (Black Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2656,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Micromax Canvas knight Silver SmartwatchÂ Â (White Strap Regular),Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2657,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 White SmartwatchÂ Â (White Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2658,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 White SmartwatchÂ Â (White Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2659,,,,,,,,,,,,,V4,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,Techno Frost DZ brown SmartwatchÂ Â (Brown Strap Large),Android,,,"‚¹1,130",0.3 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2660,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Black SmartwatchÂ Â (Black Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2661,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with HTC One S Silver SmartwatchÂ Â (White Strap Regular),Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tashan TS-91 SmartwatchÂ Â (Black Strap),,,,‚¹889,,,,,,,,,,,,,,,,,,,,,,,,,,
2663,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with HTC Desire 820s Silver SmartwatchÂ Â (White Strap Regular),Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2664,,,,,,,,,,,,,v3.0,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,888 DZ09 Brown Smart Watch For All Smart Mobile SmartwatchÂ Â (Brown Strap Regular),Android,HD Display,,"‚¹1,048",0.3 MP,,,,,,,,,,,,,,,,,,,,,,,,70 g,
2665,,,,,,,,,,,,,,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,Techno Frost DZ Silver SmartwatchÂ Â (Black Strap Large),Android,,,"‚¹1,154",0.3 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2666,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 White SmartwatchÂ Â (White Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2667,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Xolo X500 Silver SmartwatchÂ Â (White Strap Regular),Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2668,,,,,,,,,,,,,V4,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,Techno Frost DZ brown SmartwatchÂ Â (Brown Strap Large),Android,,,"‚¹1,130",0.3 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2669,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Red SmartwatchÂ Â (Red Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2670,,,,,,,,,,,,,V4,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,Techno Frost DZ brown SmartwatchÂ Â (Brown Strap Large),Android,,,"‚¹1,130",0.3 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2671,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Black SmartwatchÂ Â (Black Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2672,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Red SmartwatchÂ Â (Red Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2673,,,,,,,,,,,,,v3.0,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,CREATION4U C4U-DZ-114 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver SmartwatchÂ Â (Silver Strap Regular),Android Wear,,,"‚¹1,099",2 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2674,,,,,,,,,,,,,4.0 or Later,,,,,,,1.3 inch,HD,,,,,,,,,,,,,,,,,,,,Bingo C6 Turbo White SmartwatchÂ Â (White Strap Regular),,,,"‚¹1,499",,,,,,,,,,,,,,,,,,,,,,,,,,
2675,,,,,,,,,,,,,3.0,,,,,,,1.54 inch,TFT,,,,,,,,,,,,,,,,,,,,"YK RETAIL YKR-DZ-09 BLACK, SILVER, GOLDEN SmartwatchÂ Â (Black Strap Regular)",ANDROID,,,‚¹802,2.0 MP,,,,,,,512,,,,,,,,,,,,,,,,,75 g,
2676,,,,,,,,,,,,,,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,Y FLIP Y Flip A1 smart watch black SmartwatchÂ Â (Black Strap Regular),,,,"‚¹1,386",,,,,,,,,,,,,,,,,,,,,,,,,,
2677,,,,,,,,,,,,,v3.0,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,"888 Golden Bluetooth Smart Notification Smartwatch Memory Slot,sim Slot SmartwatchÂ Â (Brown Strap Regular)",Android,HD Display,,"‚¹1,048",0.3 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2678,,,,,,,,,,,,,v3.0,,,,,,,1.56 inch,Ultra HD,,,,,,,,,,,,,,,,,,,,Maxed 103 Golden SmartwatchÂ Â (Brown Strap Regular),Android Wear,,,"‚¹2,248",2 MP,,,,,,,,,,,,,,,,,,,,,,,,75 g,
2679,,,,,,,,,,,,,v4.2,,,,,,,1.65 inch,OLED Retina Display,,,,,,,,,,,,,,,,,,,,Apple Watch Series 3 GPS - 42 mm Space Grey Aluminium Case with Black Sport BandÂ Â (Black Strap Regular),watchOS 4,"Ion-X (Strengthened Glass), Support Force Touch",,"‚¹31,900",,,,,,,,,,,,,,,,,,,,,,,,,,
2680,,,,,,,,,,,,,v4.0,,,,,,,1.29 inch,OLED,,,,,,,,,,,,,,,,,,,,Boltt Hawk Gold SmartwatchÂ Â (Black Strap Regular),Android Wear 2.0,,,"‚¹9,999",,,,,,,,,,,,,,,,,,,,,,,,,100 g,
2681,,,,,,,,,,,,,,,,,,,,1.63 inch,,,,,,,,,,,,,,,,,,,,,"ZEMINI SLS_544L_GT08_mi 4G smart watch with camera, memory card and sim card support and fitness tracker SmartwatchÂ Â (Black Strap XL)",,,,"‚¹1,199",,,,,,,,,,,,,,,,,,,,,,,,,,
2682,,,,,,,,,,,,,,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,"Outsmart with SIM card, 32GB memory card slot, Bluetooth and Fitness Tracker Brown SmartwatchÂ Â (Brown Strap Regular)",Android Wear,,,"‚¹1,099",,,,,,,,,,,,,,,,,,,,,,,,,,
2683,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,TFT,,,,,,,,,,,,,,,,,,,,"Bluebells India â„¢with SIM card, 32GB memory card slot, Bluetooth and Fitness Tracker Brown SmartwatchÂ Â (Brown Strap Free)",Android,HD Capacitive Touchscreen,,"‚¹1,899",1.3 MP,,,,,,,,,,,,,,,,,,,,,,,,70 g,
2684,,,,,,,,,,,,,v3.0,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,CREATION4U C4U-DZ-161 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Black SmartwatchÂ Â (Black Strap Regular),Android Wear,,,"‚¹1,099",2 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2685,,,,,,,,,,,,,V4,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,Techno Frost DZ Silver SmartwatchÂ Â (Black Strap Large),Android,,,"‚¹1,110",0.3 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2686,,,,,,,,,,,,,,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,Piqancy DZ09 Silver Smartwatch Sim Card and Memory Cards Supported Bluetooth Android and IOS Series Smartwatch (Black Strap) Compatible For All Android & iOS Devises Black Smartwatch (Black Strap 2) SmartwatchÂ Â (Black Strap free size),,,,‚¹930,,,,,,,,,,,,,,,,,,,,,,,,,,
2687,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with HTC Desire 816G Octa Core Silver SmartwatchÂ Â (White Strap Regular),Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2688,,,,,,,,,,,,,,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,Aomax DZ09 With Sim GOLD SmartwatchÂ Â (Brown Strap Regular),Android Wear,,,"‚¹1,099",,,,,,,,,,,,,,,,,,,,,,,,,,
2689,,,,,,,,,,,,,,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,Diamoda DZ09 SmartwatchÂ Â (Black Strap Regular),Android Wear,,,‚¹985,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Micromax Bolt A58 Silver SmartwatchÂ Â (White Strap Regular),Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2691,,,,,,,,,,,,,,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,CASVO smart watchB072M33713 SmartwatchÂ Â (Black Strap Free size),,,,"‚¹1,399",,,,,,,,,,,,,,,,,,,,,,,,,,
2692,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 White SmartwatchÂ Â (White Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2693,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Red SmartwatchÂ Â (Red Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Panasonic Eluga Z Silver SmartwatchÂ Â (White Strap Regular),Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2695,,,,,,,,,,,,,,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,"PredictWay Original DZ09 BR-02 Bluetooth, Fitness Tracker and Sim Option Black SmartwatchÂ Â (Brown Strap Free Size)",,,,‚¹990,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,,,,,,,,,,,,,3,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,SYL LG Optimus G3 SmartwatchÂ Â (Black Strap Regular),Android,3 Clock Design,,"‚¹1,899",1.9 MP,,,,,,,,,,,,,,,,,,,,,,,,75 g,
2697,,,,,,,,,,,,,,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,Techno Frost DZ Silver SmartwatchÂ Â (Black Strap Large),Android,,,"‚¹1,158",0.3 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2698,,,,,,,,,,,,,v3.0,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,HealthMax DZ09-47 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver SmartwatchÂ Â (Black Strap Regular),Android Wear,,,"‚¹1,099",2 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2699,,,,,,,,,,,,,V4,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,Techno Frost DZ brown SmartwatchÂ Â (Brown Strap Large),Android,,,"‚¹1,090",0.3 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2700,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Red SmartwatchÂ Â (Red Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2701,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 White SmartwatchÂ Â (White Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,,,,,,,,,,,,,4,,,,,,,1.54 inch,HD,,,,,,,,,,,,,,,,,,,,"Platina Smart-watch For apple,samsung multicolour SmartwatchÂ Â (Black Strap Regular Regular)",,,,‚¹899,2 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2703,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 White SmartwatchÂ Â (White Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Micromax Canvas Juice 2 Silver SmartwatchÂ Â (White Strap Regular),Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2705,,,,,,,,,,,,,,,,,,,,1.54 inch,Ultra HD,,,,,,,,,,,,,,,,,,,,OUTSMART WS01 with SIM and Memory card slot and Fitness Tracker Silver SmartwatchÂ Â (Multicolor Strap Regular),,,,"‚¹1,099",1 MP,,,,,,,,,,,,,,,,,,,,,,,,70 g,
2706,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 White SmartwatchÂ Â (White Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with HTC Desire 516 W Silver SmartwatchÂ Â (White Strap Regular),Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2708,,,,,,,,,,,,,,,,,,,,1.54 inch,Ultra HD,,,,,,,,,,,,,,,,,,,,OUTSMART WS01 with SIM and Memory card slot and Fitness Tracker Silver SmartwatchÂ Â (Multicolor Strap Regular),,,,"‚¹1,099",1 MP,,,,,,,,,,,,,,,,,,,,,,,,70 g,
2709,,,,,,,,,,,,,v3.0,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Moto G (2nd Gen) LTE Silver SmartwatchÂ Â (White Strap Regular),Android,,,"‚¹2,349",,,,,,,,,,,,,,,,,,,,,,,,,,
2710,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Red SmartwatchÂ Â (Red Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Black SmartwatchÂ Â (Black Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2712,,,,,,,,,,,,,v3.0,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,HealthMax DZ09-37 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Brown SmartwatchÂ Â (Brown Strap Regular),Android Wear,,,"‚¹1,099",2 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2713,,,,,,,,,,,,,V4.0,,,,,,,1.22 inch,LCD,,,,,,,,,,,,,,,,,,,,WatchOut Wearables Black Zebra with Leather strap SmartwatchÂ Â (Black Strap),Nucleus,,,"‚¹5,599",,,,,,,,64,,,,,,,,,,,,,,,,,70 g,
2714,,,,,,,,,,,,,v3.0,,,,,,,1.48 inch,Super AMOLED,,,,,,,,,,,,,,,,,,,,Supervision u8 SmartwatchÂ Â (Black Strap Regular),Android Wear,,,‚¹685,,,,,,,,,,,,,,,,,,,,,,,,,,
2715,,,,,,,,,,,,,,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,STK T30 Gold Bluetooth Notification SmartwatchÂ Â (Brown Strap Regular),Android Wear,,,‚¹985,,,,,,,,,,,,,,,,,,,,,,,,,,
2716,,,,,,,,,,,,,V4.0,,,,,,,1.25 inch,OLED,,,,,,,,,,,,,,,,,,,,Fitbit Blaze Blue & Silver SmartwatchÂ Â (Blue Strap Large),Fitbit OS,,,"‚¹19,999",,,,,,,,,,,,,,,,,,,,,,,,,,
2717,,,,,,,,,,,,,v3.0,,,,,,,1.48 inch,LED,,,,,,,,,,,,,,,,,,,,SYL Yezz Andy 5E LTE Red SmartwatchÂ Â (Red Strap Free Size),Android,"Pedometer, Sedentary Reminder, Anti lost, Sleep monitoring",,‚¹740,,,,,,,,512MB,,,,,,,,,,,,,,,,,73 g,
2718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBS Wrist Bluetooth Call Function Camera Recording Slim Fitness Memory card slot Mini Mobile Watch Strap SmartwatchÂ Â (Brown Strap Regular),,,,"‚¹1,099",,,,,,,,,,,,,,,,,,,,,,,,,,
2719,,,,,,,,,,,,,,,,,,,,1.44 inch,,,,,,,,,,,,,,,,,,,,,"Crocon Bluetooth Watch for iPhone, Sony, Samsung & All Android SmartwatchÂ Â (Black Strap Regular)",Android Wear,,,‚¹699,,,,,,,,,,,,,,,,,,,,,,,,,,
2720,,,,,,,,,,,,,V3.0,,,,,,,1.56 inch,HD,,,,,,,,,,,,,,,,,,,,Deep Global Bluetooth Smart Watch DZ 09 With Sim (Golden) Golden SmartwatchÂ Â (Gold Strap Regular),Android Wear,,,‚¹749,2 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2721,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,,TFT,,,,,,,,,,,,,,,,,,,,Wokit GT08-35 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Golden SmartwatchÂ Â (Black Strap Regular),"Android, iOS, Windows",,,"‚¹1,229",2 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2722,,,,,,,,,,,,,,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,"CELESTECH with SIM card, 32GB memory card slot, Bluetooth&Fitness Tracker Black SmartwatchÂ Â (Black Strap Regular)",,,,"‚¹1,299",,,,,,,,,,,,,,,,,,,,,,,,,,
2723,,,,,,,,,,,,,,,,,,,,1.54 inch,,,,,,,,,,,,,,,,,,,,,"Fletum SIM card, 32GB memory card slot SmartwatchÂ Â (Black Strap Regular)",Android Wear,,,"‚¹1,089",,,,,,,,,,,,,,,,,,,,,,,,,,
2724,,,,,,,,,,,,,v3.0,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,CREATION4U C4U-DZ-42 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Gold SmartwatchÂ Â (Gold Strap Regular),Android Wear,,,"‚¹1,099",2 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2725,,,,,,,,,,,,,V4,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,Techno Frost DZ Silver SmartwatchÂ Â (Black Strap Large),Android,,,"‚¹1,130",0.3 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2726,,,,,,,,,,,,,V4,,,,,,,1.56 inch,,,,,,,,,,,,,,,,,,,,,Techno Frost DZ Silver SmartwatchÂ Â (Black Strap Large),Android,,,"‚¹1,130",0.3 MP,,,,,,,,,,,,,,,,,,,,,,,,,
2727,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 Black SmartwatchÂ Â (Black Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
2728,,,,,,,,,,,,,v 3.0 + EDR,,,,,,,1.48 inch,TFT,,,,,,,,,,,,,,,,,,,,Wokit U8 White SmartwatchÂ Â (White Strap Regular),"Android, iOS, Windows",,,‚¹899,,,,,,,,,,,,,,,,,,,,,,,,,,
